pk_teuna_fikt,SEMEL_YISHUV,HODESH_TEUNA,SUG_DEREH,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,PNE_KVISH,X,Y,lat,lon
2023000989,8600,10,urban not junction,non holiday,day,Thursday,severe,dry,183282.0,666418.0,32.090498986333536,34.82124509088339
2023000992,5000,2,urban not junction,non holiday,night,Saturday,light,dry,179724.0,664577.0,32.07377774261932,34.78363197852585
2023000998,0,8,not urban not junction,non holiday,night,Friday,light,dry,189245.0,692225.0,32.32339299342049,34.88359461642079
2023001000,70,9,urban junction,non holiday,day,Tuesday,light,dry,167320.0,633180.0,31.790142433512347,34.653954228220066
2023001006,1061,8,urban not junction,non holiday,day,Monday,severe,dry,230672.0,734656.0,32.70635925877235,35.32405882465469
2023001014,2710,6,urban not junction,non holiday,day,Tuesday,light,dry,214504.0,714033.0,32.52044321278972,35.15173248816195
2023001022,0,9,not urban not junction,non holiday,night,Monday,fatal,dry,174867.0,575943.0,31.27427271903704,34.73621997747774
2023001041,0,4,not urban junction,non holiday,day,Sunday,light,dry,207561.0,746985.0,32.817522571676214,35.077417222414525
2023001054,3000,6,urban not junction,non holiday,day,Sunday,light,dry,216816.0,632176.0,31.782274636424386,35.176564787614886
2023001074,0,4,not urban not junction,holiday workday,day,Friday,severe,unknown,144602.0,536261.0,30.91484882267367,34.4213763583924
2023001075,8700,12,urban not junction,non holiday,night,Wednesday,light,dry,188155.0,677708.0,32.192454894528396,34.87249557030828
2023001082,0,12,not urban junction,non holiday,night,Saturday,severe,unknown,183272.0,658417.0,32.018347125118176,34.821439809374546
2023001140,7400,9,urban not junction,non holiday,day,Monday,light,dry,185396.0,689083.0,32.294949558572306,34.84283117354896
2023001142,5000,11,urban not junction,non holiday,day,Wednesday,light,dry,179476.0,663205.0,32.06139663871615,34.78106244837406
2023001158,0,9,not urban not junction,non holiday,day,Tuesday,light,dry,165552.0,626611.0,31.73082120202931,34.635649794196596
2023001159,5000,3,urban junction,non holiday,night,Friday,light,dry,178568.0,662021.0,32.05068713499587,34.77149753934856
